team_name,ft_pct,season,source_updated_at
Saint Mary's,81.1,2025-2026,2026-03-17T00:00:00.000Z
Harvard,80.8,2025-2026,2026-03-17T00:00:00.000Z
Manhattan,79.6,2025-2026,2026-03-17T00:00:00.000Z
Vanderbilt,79.3,2025-2026,2026-03-17T00:00:00.000Z
Detroit Mercy,78.9,2025-2026,2026-03-17T00:00:00.000Z
Illinois,78.9,2025-2026,2026-03-17T00:00:00.000Z
Bellarmine,78.8,2025-2026,2026-03-17T00:00:00.000Z
Merrimack,78.8,2025-2026,2026-03-17T00:00:00.000Z
Boise St,78.7,2025-2026,2026-03-17T00:00:00.000Z
Delaware,78.6,2025-2026,2026-03-17T00:00:00.000Z
Georgia St,78.6,2025-2026,2026-03-17T00:00:00.000Z
Wisconsin,78.6,2025-2026,2026-03-17T00:00:00.000Z
Cal Poly,78.5,2025-2026,2026-03-17T00:00:00.000Z
Tulsa,78.3,2025-2026,2026-03-17T00:00:00.000Z
South Carolina,78.1,2025-2026,2026-03-17T00:00:00.000Z
Sacramento St,78.1,2025-2026,2026-03-17T00:00:00.000Z
Marist,78.1,2025-2026,2026-03-17T00:00:00.000Z
Indiana,78.0,2025-2026,2026-03-17T00:00:00.000Z
Sacred Heart,78.0,2025-2026,2026-03-17T00:00:00.000Z
N Florida,77.8,2025-2026,2026-03-17T00:00:00.000Z
Ohio St,77.5,2025-2026,2026-03-17T00:00:00.000Z
UCSB,77.5,2025-2026,2026-03-17T00:00:00.000Z
Green Bay,77.5,2025-2026,2026-03-17T00:00:00.000Z
Wake Forest,77.4,2025-2026,2026-03-17T00:00:00.000Z
California,77.4,2025-2026,2026-03-17T00:00:00.000Z
Chattanooga,77.4,2025-2026,2026-03-17T00:00:00.000Z
Montana,77.3,2025-2026,2026-03-17T00:00:00.000Z
Holy Cross,77.2,2025-2026,2026-03-17T00:00:00.000Z
Oregon St,77.2,2025-2026,2026-03-17T00:00:00.000Z
Houston,77.2,2025-2026,2026-03-17T00:00:00.000Z
Denver,77.1,2025-2026,2026-03-17T00:00:00.000Z
Colorado St,77.1,2025-2026,2026-03-17T00:00:00.000Z
Iowa,77.0,2025-2026,2026-03-17T00:00:00.000Z
Louisville,76.9,2025-2026,2026-03-17T00:00:00.000Z
Siena,76.9,2025-2026,2026-03-17T00:00:00.000Z
Bucknell,76.8,2025-2026,2026-03-17T00:00:00.000Z
NC State,76.8,2025-2026,2026-03-17T00:00:00.000Z
C Connecticut,76.7,2025-2026,2026-03-17T00:00:00.000Z
Kansas,76.7,2025-2026,2026-03-17T00:00:00.000Z
Tulane,76.7,2025-2026,2026-03-17T00:00:00.000Z
UCLA,76.7,2025-2026,2026-03-17T00:00:00.000Z
Alabama,76.5,2025-2026,2026-03-17T00:00:00.000Z
UMBC,76.4,2025-2026,2026-03-17T00:00:00.000Z
Washington,76.4,2025-2026,2026-03-17T00:00:00.000Z
LSU,76.4,2025-2026,2026-03-17T00:00:00.000Z
UT Rio Grande,76.3,2025-2026,2026-03-17T00:00:00.000Z
Tennessee St,76.3,2025-2026,2026-03-17T00:00:00.000Z
Michigan St,76.3,2025-2026,2026-03-17T00:00:00.000Z
Tenn Tech,76.2,2025-2026,2026-03-17T00:00:00.000Z
Cleveland St,76.2,2025-2026,2026-03-17T00:00:00.000Z
Texas St,76.2,2025-2026,2026-03-17T00:00:00.000Z
Bryant,76.0,2025-2026,2026-03-17T00:00:00.000Z
Creighton,76.0,2025-2026,2026-03-17T00:00:00.000Z
Hofstra,75.9,2025-2026,2026-03-17T00:00:00.000Z
Yale,75.9,2025-2026,2026-03-17T00:00:00.000Z
Jackson St,75.8,2025-2026,2026-03-17T00:00:00.000Z
American,75.8,2025-2026,2026-03-17T00:00:00.000Z
Pepperdine,75.8,2025-2026,2026-03-17T00:00:00.000Z
N Colorado,75.8,2025-2026,2026-03-17T00:00:00.000Z
Providence,75.7,2025-2026,2026-03-17T00:00:00.000Z
Murray St,75.7,2025-2026,2026-03-17T00:00:00.000Z
Colorado,75.7,2025-2026,2026-03-17T00:00:00.000Z
W Kentucky,75.7,2025-2026,2026-03-17T00:00:00.000Z
AR-Pine Bluff,75.5,2025-2026,2026-03-17T00:00:00.000Z
Pacific,75.5,2025-2026,2026-03-17T00:00:00.000Z
Georgia,75.4,2025-2026,2026-03-17T00:00:00.000Z
Grand Canyon,75.3,2025-2026,2026-03-17T00:00:00.000Z
Arizona St,75.3,2025-2026,2026-03-17T00:00:00.000Z
UC Davis,75.3,2025-2026,2026-03-17T00:00:00.000Z
Texas,75.3,2025-2026,2026-03-17T00:00:00.000Z
Binghamton,75.3,2025-2026,2026-03-17T00:00:00.000Z
Akron,75.3,2025-2026,2026-03-17T00:00:00.000Z
Toledo,75.2,2025-2026,2026-03-17T00:00:00.000Z
Nevada,75.2,2025-2026,2026-03-17T00:00:00.000Z
Prairie View,75.2,2025-2026,2026-03-17T00:00:00.000Z
Fresno St,75.1,2025-2026,2026-03-17T00:00:00.000Z
Oakland,75.1,2025-2026,2026-03-17T00:00:00.000Z
Oklahoma St,75.1,2025-2026,2026-03-17T00:00:00.000Z
Northwestern,75.1,2025-2026,2026-03-17T00:00:00.000Z
Dayton,75.1,2025-2026,2026-03-17T00:00:00.000Z
Wyoming,75.0,2025-2026,2026-03-17T00:00:00.000Z
Miami OH,75.0,2025-2026,2026-03-17T00:00:00.000Z
Nebraska,75.0,2025-2026,2026-03-17T00:00:00.000Z
Monmouth,75.0,2025-2026,2026-03-17T00:00:00.000Z
Penn St,75.0,2025-2026,2026-03-17T00:00:00.000Z
Chicago St,75.0,2025-2026,2026-03-17T00:00:00.000Z
Lipscomb,74.9,2025-2026,2026-03-17T00:00:00.000Z
Mississippi,74.9,2025-2026,2026-03-17T00:00:00.000Z
William & Mary,74.9,2025-2026,2026-03-17T00:00:00.000Z
Queens,74.9,2025-2026,2026-03-17T00:00:00.000Z
Princeton,74.8,2025-2026,2026-03-17T00:00:00.000Z
E Tennessee St,74.7,2025-2026,2026-03-17T00:00:00.000Z
Michigan,74.7,2025-2026,2026-03-17T00:00:00.000Z
San Diego,74.7,2025-2026,2026-03-17T00:00:00.000Z
Arkansas,74.7,2025-2026,2026-03-17T00:00:00.000Z
Temple,74.7,2025-2026,2026-03-17T00:00:00.000Z
Colgate,74.7,2025-2026,2026-03-17T00:00:00.000Z
St Bonaventure,74.7,2025-2026,2026-03-17T00:00:00.000Z
Richmond,74.7,2025-2026,2026-03-17T00:00:00.000Z
BYU,74.6,2025-2026,2026-03-17T00:00:00.000Z
Oklahoma,74.5,2025-2026,2026-03-17T00:00:00.000Z
Washington St,74.5,2025-2026,2026-03-17T00:00:00.000Z
Wright St,74.5,2025-2026,2026-03-17T00:00:00.000Z
Saint Louis,74.4,2025-2026,2026-03-17T00:00:00.000Z
W Michigan,74.4,2025-2026,2026-03-17T00:00:00.000Z
E Illinois,74.4,2025-2026,2026-03-17T00:00:00.000Z
Kent St,74.4,2025-2026,2026-03-17T00:00:00.000Z
Auburn,74.4,2025-2026,2026-03-17T00:00:00.000Z
Georgia So,74.3,2025-2026,2026-03-17T00:00:00.000Z
S Florida,74.3,2025-2026,2026-03-17T00:00:00.000Z
Morgan St,74.3,2025-2026,2026-03-17T00:00:00.000Z
New Orleans,74.3,2025-2026,2026-03-17T00:00:00.000Z
Purdue,74.3,2025-2026,2026-03-17T00:00:00.000Z
Virginia Tech,74.3,2025-2026,2026-03-17T00:00:00.000Z
E Washington,74.3,2025-2026,2026-03-17T00:00:00.000Z
High Point,74.2,2025-2026,2026-03-17T00:00:00.000Z
Howard,74.2,2025-2026,2026-03-17T00:00:00.000Z
Dartmouth,74.2,2025-2026,2026-03-17T00:00:00.000Z
UC Riverside,74.2,2025-2026,2026-03-17T00:00:00.000Z
Tarleton St,74.2,2025-2026,2026-03-17T00:00:00.000Z
South Dakota,74.2,2025-2026,2026-03-17T00:00:00.000Z
SMU,74.1,2025-2026,2026-03-17T00:00:00.000Z
Morehead St,74.1,2025-2026,2026-03-17T00:00:00.000Z
Saint Joseph's,74.1,2025-2026,2026-03-17T00:00:00.000Z
Rutgers,74.1,2025-2026,2026-03-17T00:00:00.000Z
Bradley,74.1,2025-2026,2026-03-17T00:00:00.000Z
Idaho St,74.1,2025-2026,2026-03-17T00:00:00.000Z
Mercyhurst,74.1,2025-2026,2026-03-17T00:00:00.000Z
McNeese,74.0,2025-2026,2026-03-17T00:00:00.000Z
Portland,74.0,2025-2026,2026-03-17T00:00:00.000Z
Montana St,74.0,2025-2026,2026-03-17T00:00:00.000Z
Georgetown,74.0,2025-2026,2026-03-17T00:00:00.000Z
NW State,74.0,2025-2026,2026-03-17T00:00:00.000Z
Oral Roberts,74.0,2025-2026,2026-03-17T00:00:00.000Z
Longwood,74.0,2025-2026,2026-03-17T00:00:00.000Z
Cornell,74.0,2025-2026,2026-03-17T00:00:00.000Z
UCF,74.0,2025-2026,2026-03-17T00:00:00.000Z
Santa Clara,74.0,2025-2026,2026-03-17T00:00:00.000Z
VCU,73.9,2025-2026,2026-03-17T00:00:00.000Z
NC Central,73.8,2025-2026,2026-03-17T00:00:00.000Z
Hawai'i,73.8,2025-2026,2026-03-17T00:00:00.000Z
San Jose St,73.8,2025-2026,2026-03-17T00:00:00.000Z
Alabama A&M,73.8,2025-2026,2026-03-17T00:00:00.000Z
CS Bakersfield,73.8,2025-2026,2026-03-17T00:00:00.000Z
Troy,73.8,2025-2026,2026-03-17T00:00:00.000Z
Utah,73.8,2025-2026,2026-03-17T00:00:00.000Z
Navy,73.7,2025-2026,2026-03-17T00:00:00.000Z
Texas A&M,73.7,2025-2026,2026-03-17T00:00:00.000Z
Buffalo,73.7,2025-2026,2026-03-17T00:00:00.000Z
Southern Miss,73.6,2025-2026,2026-03-17T00:00:00.000Z
Charleston,73.6,2025-2026,2026-03-17T00:00:00.000Z
Saint Peter's,73.6,2025-2026,2026-03-17T00:00:00.000Z
Evansville,73.6,2025-2026,2026-03-17T00:00:00.000Z
New Mexico St,73.5,2025-2026,2026-03-17T00:00:00.000Z
NC A&T,73.5,2025-2026,2026-03-17T00:00:00.000Z
Arizona,73.4,2025-2026,2026-03-17T00:00:00.000Z
Boston U,73.4,2025-2026,2026-03-17T00:00:00.000Z
Austin Peay,73.4,2025-2026,2026-03-17T00:00:00.000Z
Youngstown St,73.3,2025-2026,2026-03-17T00:00:00.000Z
Arkansas St,73.3,2025-2026,2026-03-17T00:00:00.000Z
Old Dominion,73.3,2025-2026,2026-03-17T00:00:00.000Z
Baylor,73.3,2025-2026,2026-03-17T00:00:00.000Z
E Michigan,73.2,2025-2026,2026-03-17T00:00:00.000Z
Oregon,73.2,2025-2026,2026-03-17T00:00:00.000Z
Omaha,73.2,2025-2026,2026-03-17T00:00:00.000Z
Stanford,73.1,2025-2026,2026-03-17T00:00:00.000Z
Coastal Car,73.1,2025-2026,2026-03-17T00:00:00.000Z
San Diego St,73.0,2025-2026,2026-03-17T00:00:00.000Z
Mercer,73.0,2025-2026,2026-03-17T00:00:00.000Z
Marshall,73.0,2025-2026,2026-03-17T00:00:00.000Z
Lehigh,72.9,2025-2026,2026-03-17T00:00:00.000Z
Weber St,72.9,2025-2026,2026-03-17T00:00:00.000Z
Idaho,72.9,2025-2026,2026-03-17T00:00:00.000Z
Winthrop,72.9,2025-2026,2026-03-17T00:00:00.000Z
Grambling,72.9,2025-2026,2026-03-17T00:00:00.000Z
Xavier,72.9,2025-2026,2026-03-17T00:00:00.000Z
Kentucky,72.8,2025-2026,2026-03-17T00:00:00.000Z
St John's,72.7,2025-2026,2026-03-17T00:00:00.000Z
UL Monroe,72.7,2025-2026,2026-03-17T00:00:00.000Z
Virginia,72.6,2025-2026,2026-03-17T00:00:00.000Z
USC,72.6,2025-2026,2026-03-17T00:00:00.000Z
Clemson,72.6,2025-2026,2026-03-17T00:00:00.000Z
Utah Tech,72.6,2025-2026,2026-03-17T00:00:00.000Z
Illinois Chicago,72.6,2025-2026,2026-03-17T00:00:00.000Z
Wagner,72.6,2025-2026,2026-03-17T00:00:00.000Z
Long Beach St,72.5,2025-2026,2026-03-17T00:00:00.000Z
La Salle,72.5,2025-2026,2026-03-17T00:00:00.000Z
Campbell,72.5,2025-2026,2026-03-17T00:00:00.000Z
Hampton,72.5,2025-2026,2026-03-17T00:00:00.000Z
Duke,72.4,2025-2026,2026-03-17T00:00:00.000Z
E Kentucky,72.4,2025-2026,2026-03-17T00:00:00.000Z
UT Arlington,72.3,2025-2026,2026-03-17T00:00:00.000Z
Bowling Green,72.3,2025-2026,2026-03-17T00:00:00.000Z
New Mexico,72.3,2025-2026,2026-03-17T00:00:00.000Z
Stony Brook,72.3,2025-2026,2026-03-17T00:00:00.000Z
Jacksonville,72.3,2025-2026,2026-03-17T00:00:00.000Z
Seton Hall,72.3,2025-2026,2026-03-17T00:00:00.000Z
VMI,72.2,2025-2026,2026-03-17T00:00:00.000Z
Maryland,72.2,2025-2026,2026-03-17T00:00:00.000Z
Niagara,72.2,2025-2026,2026-03-17T00:00:00.000Z
IU Indy,72.1,2025-2026,2026-03-17T00:00:00.000Z
Memphis,72.1,2025-2026,2026-03-17T00:00:00.000Z
Rhode Island,72.1,2025-2026,2026-03-17T00:00:00.000Z
George Mason,72.1,2025-2026,2026-03-17T00:00:00.000Z
FGCU,72.1,2025-2026,2026-03-17T00:00:00.000Z
N Kentucky,72.1,2025-2026,2026-03-17T00:00:00.000Z
Sam Houston,72.0,2025-2026,2026-03-17T00:00:00.000Z
S Dakota St,72.0,2025-2026,2026-03-17T00:00:00.000Z
Butler,71.9,2025-2026,2026-03-17T00:00:00.000Z
Texas So,71.9,2025-2026,2026-03-17T00:00:00.000Z
Canisius,71.9,2025-2026,2026-03-17T00:00:00.000Z
Vermont,71.9,2025-2026,2026-03-17T00:00:00.000Z
Cal Baptist,71.9,2025-2026,2026-03-17T00:00:00.000Z
G Washington,71.8,2025-2026,2026-03-17T00:00:00.000Z
Le Moyne,71.8,2025-2026,2026-03-17T00:00:00.000Z
Army,71.7,2025-2026,2026-03-17T00:00:00.000Z
N Dakota St,71.6,2025-2026,2026-03-17T00:00:00.000Z
Miss Valley St,71.6,2025-2026,2026-03-17T00:00:00.000Z
UConn,71.6,2025-2026,2026-03-17T00:00:00.000Z
CS Fullerton,71.6,2025-2026,2026-03-17T00:00:00.000Z
Charlotte,71.6,2025-2026,2026-03-17T00:00:00.000Z
Duquesne,71.5,2025-2026,2026-03-17T00:00:00.000Z
S Utah,71.5,2025-2026,2026-03-17T00:00:00.000Z
Loyola MD,71.5,2025-2026,2026-03-17T00:00:00.000Z
Maryland ES,71.5,2025-2026,2026-03-17T00:00:00.000Z
Texas Tech,71.5,2025-2026,2026-03-17T00:00:00.000Z
Elon,71.4,2025-2026,2026-03-17T00:00:00.000Z
Drake,71.4,2025-2026,2026-03-17T00:00:00.000Z
W Carolina,71.4,2025-2026,2026-03-17T00:00:00.000Z
Florida St,71.3,2025-2026,2026-03-17T00:00:00.000Z
Incarnate Word,71.2,2025-2026,2026-03-17T00:00:00.000Z
Georgia Tech,71.1,2025-2026,2026-03-17T00:00:00.000Z
Radford,71.0,2025-2026,2026-03-17T00:00:00.000Z
Ohio,71.0,2025-2026,2026-03-17T00:00:00.000Z
Portland St,71.0,2025-2026,2026-03-17T00:00:00.000Z
Florida,71.0,2025-2026,2026-03-17T00:00:00.000Z
Ball St,71.0,2025-2026,2026-03-17T00:00:00.000Z
Kansas St,71.0,2025-2026,2026-03-17T00:00:00.000Z
Illinois St,70.9,2025-2026,2026-03-17T00:00:00.000Z
San Francisco,70.9,2025-2026,2026-03-17T00:00:00.000Z
Wofford,70.9,2025-2026,2026-03-17T00:00:00.000Z
Valparaiso,70.9,2025-2026,2026-03-17T00:00:00.000Z
TCU,70.8,2025-2026,2026-03-17T00:00:00.000Z
Alcorn St,70.8,2025-2026,2026-03-17T00:00:00.000Z
C Arkansas,70.7,2025-2026,2026-03-17T00:00:00.000Z
Purdue FW,70.7,2025-2026,2026-03-17T00:00:00.000Z
Liberty,70.7,2025-2026,2026-03-17T00:00:00.000Z
Lamar,70.7,2025-2026,2026-03-17T00:00:00.000Z
Iona,70.7,2025-2026,2026-03-17T00:00:00.000Z
Utah St,70.6,2025-2026,2026-03-17T00:00:00.000Z
UAB,70.6,2025-2026,2026-03-17T00:00:00.000Z
NJIT,70.5,2025-2026,2026-03-17T00:00:00.000Z
Alabama St,70.5,2025-2026,2026-03-17T00:00:00.000Z
Fairfield,70.5,2025-2026,2026-03-17T00:00:00.000Z
NC Greensboro,70.4,2025-2026,2026-03-17T00:00:00.000Z
Abl Christian,70.4,2025-2026,2026-03-17T00:00:00.000Z
W Georgia,70.4,2025-2026,2026-03-17T00:00:00.000Z
UTEP,70.4,2025-2026,2026-03-17T00:00:00.000Z
Louisiana,70.4,2025-2026,2026-03-17T00:00:00.000Z
Florida Atlantic,70.3,2025-2026,2026-03-17T00:00:00.000Z
Seattle,70.3,2025-2026,2026-03-17T00:00:00.000Z
J Madison,70.3,2025-2026,2026-03-17T00:00:00.000Z
Florida A&M,70.3,2025-2026,2026-03-17T00:00:00.000Z
Fordham,70.2,2025-2026,2026-03-17T00:00:00.000Z
New Haven,70.2,2025-2026,2026-03-17T00:00:00.000Z
Middle Tenn,70.2,2025-2026,2026-03-17T00:00:00.000Z
Rider,70.1,2025-2026,2026-03-17T00:00:00.000Z
Columbia,70.1,2025-2026,2026-03-17T00:00:00.000Z
F Dickinson,70.1,2025-2026,2026-03-17T00:00:00.000Z
Kennesaw St,70.0,2025-2026,2026-03-17T00:00:00.000Z
Minnesota,70.0,2025-2026,2026-03-17T00:00:00.000Z
N Texas,70.0,2025-2026,2026-03-17T00:00:00.000Z
E Carolina,70.0,2025-2026,2026-03-17T00:00:00.000Z
Gonzaga,69.9,2025-2026,2026-03-17T00:00:00.000Z
UTSA,69.8,2025-2026,2026-03-17T00:00:00.000Z
Furman,69.8,2025-2026,2026-03-17T00:00:00.000Z
C Michigan,69.7,2025-2026,2026-03-17T00:00:00.000Z
N Iowa,69.7,2025-2026,2026-03-17T00:00:00.000Z
Notre Dame,69.7,2025-2026,2026-03-17T00:00:00.000Z
Bethune,69.7,2025-2026,2026-03-17T00:00:00.000Z
Loyola Mymt,69.5,2025-2026,2026-03-17T00:00:00.000Z
SE Missouri St,69.5,2025-2026,2026-03-17T00:00:00.000Z
St Francis PA,69.5,2025-2026,2026-03-17T00:00:00.000Z
Penn,69.5,2025-2026,2026-03-17T00:00:00.000Z
North Dakota,69.5,2025-2026,2026-03-17T00:00:00.000Z
UC Irvine,69.5,2025-2026,2026-03-17T00:00:00.000Z
Southern,69.5,2025-2026,2026-03-17T00:00:00.000Z
Florida Intl,69.4,2025-2026,2026-03-17T00:00:00.000Z
Tennessee,69.4,2025-2026,2026-03-17T00:00:00.000Z
Villanova,69.4,2025-2026,2026-03-17T00:00:00.000Z
Hou Christian,69.4,2025-2026,2026-03-17T00:00:00.000Z
Robert Morris,69.4,2025-2026,2026-03-17T00:00:00.000Z
UCSD,69.3,2025-2026,2026-03-17T00:00:00.000Z
Stetson,69.2,2025-2026,2026-03-17T00:00:00.000Z
Samford,69.2,2025-2026,2026-03-17T00:00:00.000Z
DePaul,69.2,2025-2026,2026-03-17T00:00:00.000Z
Quinnipiac,69.1,2025-2026,2026-03-17T00:00:00.000Z
NC Wilmington,69.1,2025-2026,2026-03-17T00:00:00.000Z
Northeastern,69.0,2025-2026,2026-03-17T00:00:00.000Z
Towson,68.9,2025-2026,2026-03-17T00:00:00.000Z
Delaware St,68.9,2025-2026,2026-03-17T00:00:00.000Z
Lafayette,68.9,2025-2026,2026-03-17T00:00:00.000Z
N Arizona,68.9,2025-2026,2026-03-17T00:00:00.000Z
St Thomas,68.8,2025-2026,2026-03-17T00:00:00.000Z
Wichita St,68.8,2025-2026,2026-03-17T00:00:00.000Z
SF Austin,68.7,2025-2026,2026-03-17T00:00:00.000Z
Milwaukee,68.7,2025-2026,2026-03-17T00:00:00.000Z
Belmont,68.6,2025-2026,2026-03-17T00:00:00.000Z
Missouri,68.6,2025-2026,2026-03-17T00:00:00.000Z
Stonehill,68.5,2025-2026,2026-03-17T00:00:00.000Z
Miami,68.5,2025-2026,2026-03-17T00:00:00.000Z
Presbyterian,68.5,2025-2026,2026-03-17T00:00:00.000Z
Gardner-Webb,68.5,2025-2026,2026-03-17T00:00:00.000Z
Jacksonville St,68.4,2025-2026,2026-03-17T00:00:00.000Z
N Alabama,68.4,2025-2026,2026-03-17T00:00:00.000Z
North Carolina,68.4,2025-2026,2026-03-17T00:00:00.000Z
Brown,68.4,2025-2026,2026-03-17T00:00:00.000Z
UNLV,68.4,2025-2026,2026-03-17T00:00:00.000Z
NC Asheville,68.4,2025-2026,2026-03-17T00:00:00.000Z
SE Louisiana,68.4,2025-2026,2026-03-17T00:00:00.000Z
S Illinois,68.3,2025-2026,2026-03-17T00:00:00.000Z
Utah Valley,68.2,2025-2026,2026-03-17T00:00:00.000Z
Norfolk St,68.1,2025-2026,2026-03-17T00:00:00.000Z
SC Upstate,68.1,2025-2026,2026-03-17T00:00:00.000Z
Cincinnati,68.1,2025-2026,2026-03-17T00:00:00.000Z
Rice,68.1,2025-2026,2026-03-17T00:00:00.000Z
Little Rock,68.0,2025-2026,2026-03-17T00:00:00.000Z
E Texas A&M,67.9,2025-2026,2026-03-17T00:00:00.000Z
Indiana St,67.8,2025-2026,2026-03-17T00:00:00.000Z
UT Martin,67.7,2025-2026,2026-03-17T00:00:00.000Z
West Virginia,67.7,2025-2026,2026-03-17T00:00:00.000Z
Marquette,67.5,2025-2026,2026-03-17T00:00:00.000Z
Texas A&M-CC,67.4,2025-2026,2026-03-17T00:00:00.000Z
Lindenwood,67.4,2025-2026,2026-03-17T00:00:00.000Z
Pittsburgh,67.4,2025-2026,2026-03-17T00:00:00.000Z
Mt St Mary's,67.4,2025-2026,2026-03-17T00:00:00.000Z
Missouri St,67.3,2025-2026,2026-03-17T00:00:00.000Z
UMass,67.3,2025-2026,2026-03-17T00:00:00.000Z
Loyola Chi,67.3,2025-2026,2026-03-17T00:00:00.000Z
Iowa St,67.2,2025-2026,2026-03-17T00:00:00.000Z
Louisiana Tech,67.2,2025-2026,2026-03-17T00:00:00.000Z
Coppin St,67.2,2025-2026,2026-03-17T00:00:00.000Z
SIU Edward,67.1,2025-2026,2026-03-17T00:00:00.000Z
LIU,66.8,2025-2026,2026-03-17T00:00:00.000Z
S Carolina St,66.8,2025-2026,2026-03-17T00:00:00.000Z
CS Northridge,66.8,2025-2026,2026-03-17T00:00:00.000Z
S Indiana,66.6,2025-2026,2026-03-17T00:00:00.000Z
Drexel,66.5,2025-2026,2026-03-17T00:00:00.000Z
The Citadel,66.5,2025-2026,2026-03-17T00:00:00.000Z
Nicholls,66.2,2025-2026,2026-03-17T00:00:00.000Z
W Illinois,66.2,2025-2026,2026-03-17T00:00:00.000Z
Kansas City,66.2,2025-2026,2026-03-17T00:00:00.000Z
Mississippi St,66.0,2025-2026,2026-03-17T00:00:00.000Z
Albany,65.9,2025-2026,2026-03-17T00:00:00.000Z
UMass Lowell,65.7,2025-2026,2026-03-17T00:00:00.000Z
S Alabama,65.7,2025-2026,2026-03-17T00:00:00.000Z
N Illinois,65.7,2025-2026,2026-03-17T00:00:00.000Z
Boston College,65.3,2025-2026,2026-03-17T00:00:00.000Z
New Hampshire,65.1,2025-2026,2026-03-17T00:00:00.000Z
Charleston So,64.8,2025-2026,2026-03-17T00:00:00.000Z
Syracuse,64.8,2025-2026,2026-03-17T00:00:00.000Z
App State,64.5,2025-2026,2026-03-17T00:00:00.000Z
Maine,64.3,2025-2026,2026-03-17T00:00:00.000Z
Air Force,64.1,2025-2026,2026-03-17T00:00:00.000Z
Davidson,63.8,2025-2026,2026-03-17T00:00:00.000Z
